t;cp
100;29.208
200;32.359
298.15;37.129
300;37.221
400;41.325
500;44.627
600;47.321
700;49.564
800;51.434
900;52.999
1000;54.308
1100;55.409
1200;56.342
1300;57.137
1400;57.802
1500;58.379
1600;58.886
1700;59.317
1800;59.701
1900;60.049
2000;60.35
2100;60.622
2200;60.865
2300;61.086
2400;61.287
2500;61.471
2600;61.647
2700;61.802
2800;61.952
2900;62.095
3000;62.229
3100;62.347
3200;62.462
3300;62.573
3400;62.681
3500;62.785
3600;62.884
3700;62.98
3800;63.074
3900;63.166
4000;63.254
4100;63.341
4200;63.426
4300;63.509
4400;63.588
4500;63.667
4600;63.745
4700;63.823
4800;63.893
4900;63.968
5000;64.046
5100;64.128
5200;64.22
5300;64.312
5400;64.404
5500;64.496
5600;64.588
5700;64.68
5800;64.772
5900;64.865
6000;64.957
